field,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4
240,326.025647906669,-27.6018022927867,326.383817557194,-35.148659012425,317.366925636067,-35.1619487016381,317.701499350667,-27.6152046324762
241,333.774437906669,-27.6018022927867,334.132607557194,-35.148659012425,325.115715636067,-35.1619487016381,325.450289350667,-27.6152046324762
242,341.523217906669,-27.6018022927867,341.881387557194,-35.148659012425,332.864495636067,-35.1619487016381,333.199069350667,-27.6152046324762
243,349.272007906669,-27.6018022927867,349.630177557194,-35.148659012425,340.613285636067,-35.1619487016381,340.947859350667,-27.6152046324762
244,357.020797906669,-27.6018022927867,357.378967557194,-35.148659012425,348.362075636067,-35.1619487016381,348.696649350667,-27.6152046324762
245,5.07745375578626,-20.4195437665609,5.32670636706072,-27.9691596448144,356.98032165969,-27.9825856532151,357.206935955568,-20.4332777753156
246,12.4705237557863,-20.4195437665609,12.7197763670607,-27.9691596448144,4.37339165969002,-27.9825856532151,4.60000595556819,-20.4332777753156
247,19.8636037557863,-20.4195437665609,20.1128563670607,-27.9691596448144,11.76647165969,-27.9825856532151,11.9930859555682,-20.4332777753156
248,27.2566737557863,-20.4195437665609,27.5059263670607,-27.9691596448144,19.15954165969,-27.9825856532151,19.3861559555682,-20.4332777753156
249,34.6497437557863,-20.4195437665609,34.8989963670607,-27.9691596448144,26.55261165969,-27.9825856532151,26.7792259555682,-20.4332777753156
250,42.0428137557863,-20.4195437665609,42.2920663670607,-27.9691596448144,33.94568165969,-27.9825856532151,34.1722959555682,-20.4332777753156
251,49.4358837557863,-20.4195437665609,49.6851363670607,-27.9691596448144,41.33875165969,-27.9825856532151,41.5653659555682,-20.4332777753156
252,56.8289537557863,-20.4195437665609,57.0782063670607,-27.9691596448144,48.73182165969,-27.9825856532151,48.9584359555682,-20.4332777753156
253,64.2220237557863,-20.4195437665609,64.4712763670607,-27.9691596448144,56.12489165969,-27.9825856532151,56.3515059555682,-20.4332777753156
254,71.6151037557863,-20.4195437665609,71.8643563670607,-27.9691596448144,63.51797165969,-27.9825856532151,63.7445859555682,-20.4332777753156
255,79.0081737557863,-20.4195437665609,79.2574263670607,-27.9691596448144,70.91104165969,-27.9825856532151,71.1376559555682,-20.4332777753156
256,86.4012437557863,-20.4195437665609,86.6504963670607,-27.9691596448144,78.30411165969,-27.9825856532151,78.5307259555682,-20.4332777753156
257,93.7943137557863,-20.4195437665609,94.0435663670607,-27.9691596448144,85.69718165969,-27.9825856532151,85.9237959555682,-20.4332777753156
258,101.187383755786,-20.4195437665609,101.436636367061,-27.9691596448144,93.09025165969,-27.9825856532151,93.3168659555682,-20.4332777753156
259,108.580453755786,-20.4195437665609,108.829706367061,-27.9691596448144,100.48332165969,-27.9825856532151,100.709935955568,-20.4332777753156
260,115.973523755786,-20.4195437665609,116.222776367061,-27.9691596448144,107.87639165969,-27.9825856532151,108.103005955568,-20.4332777753156
261,123.312773755786,-20.4195437665609,123.562026367061,-27.9691596448144,115.21564165969,-27.9825856532151,115.442255955568,-20.4332777753156
262,130.598203755786,-20.4195437665609,130.847456367061,-27.9691596448144,122.50107165969,-27.9825856532151,122.727685955568,-20.4332777753156
263,137.883633755786,-20.4195437665609,138.132886367061,-27.9691596448144,129.78650165969,-27.9825856532151,130.013115955568,-20.4332777753156
264,145.169063755786,-20.4195437665609,145.418316367061,-27.9691596448144,137.07193165969,-27.9825856532151,137.298545955568,-20.4332777753156
265,152.454493755786,-20.4195437665609,152.703746367061,-27.9691596448144,144.35736165969,-27.9825856532151,144.583975955568,-20.4332777753156
266,159.739923755786,-20.4195437665609,159.989176367061,-27.9691596448144,151.64279165969,-27.9825856532151,151.869405955568,-20.4332777753156
267,167.025353755786,-20.4195437665609,167.274606367061,-27.9691596448144,158.92822165969,-27.9825856532151,159.154835955568,-20.4332777753156
268,174.310773755786,-20.4195437665609,174.560026367061,-27.9691596448144,166.21364165969,-27.9825856532151,166.440255955568,-20.4332777753156
269,181.596203755786,-20.4195437665609,181.845456367061,-27.9691596448144,173.49907165969,-27.9825856532151,173.725685955568,-20.4332777753156
270,188.881633755786,-20.4195437665609,189.130886367061,-27.9691596448144,180.78450165969,-27.9825856532151,181.011115955568,-20.4332777753156
271,196.167063755786,-20.4195437665609,196.416316367061,-27.9691596448144,188.06993165969,-27.9825856532151,188.296545955568,-20.4332777753156
272,203.452493755786,-20.4195437665609,203.701746367061,-27.9691596448144,195.35536165969,-27.9825856532151,195.581975955568,-20.4332777753156
273,210.737923755786,-20.4195437665609,210.987176367061,-27.9691596448144,202.64079165969,-27.9825856532151,202.867405955568,-20.4332777753156
274,218.023353755786,-20.4195437665609,218.272606367061,-27.9691596448144,209.92622165969,-27.9825856532151,210.152835955568,-20.4332777753156
275,225.308773755786,-20.4195437665609,225.558026367061,-27.9691596448144,217.21164165969,-27.9825856532151,217.438255955568,-20.4332777753156
276,232.594203755786,-20.4195437665609,232.843456367061,-27.9691596448144,224.49707165969,-27.9825856532151,224.723685955568,-20.4332777753156
277,239.879633755786,-20.4195437665609,240.128886367061,-27.9691596448144,231.78250165969,-27.9825856532151,232.009115955568,-20.4332777753156
278,247.165063755786,-20.4195437665609,247.414316367061,-27.9691596448144,239.06793165969,-27.9825856532151,239.294545955568,-20.4332777753156
279,254.450493755786,-20.4195437665609,254.699746367061,-27.9691596448144,246.35336165969,-27.9825856532151,246.579975955568,-20.4332777753156
280,261.735923755786,-20.4195437665609,261.985176367061,-27.9691596448144,253.63879165969,-27.9825856532151,253.865405955568,-20.4332777753156
281,269.021353755786,-20.4195437665609,269.270606367061,-27.9691596448144,260.92422165969,-27.9825856532151,261.150835955568,-20.4332777753156
282,276.360603755786,-20.4195437665609,276.609856367061,-27.9691596448144,268.26347165969,-27.9825856532151,268.490085955568,-20.4332777753156
283,283.753673755786,-20.4195437665609,284.002926367061,-27.9691596448144,275.65654165969,-27.9825856532151,275.883155955568,-20.4332777753156
284,291.146743755786,-20.4195437665609,291.395996367061,-27.9691596448144,283.04961165969,-27.9825856532151,283.276225955568,-20.4332777753156
285,298.539813755786,-20.4195437665609,298.789066367061,-27.9691596448144,290.44268165969,-27.9825856532151,290.669295955568,-20.4332777753156
286,305.932883755786,-20.4195437665609,306.182136367061,-27.9691596448144,297.83575165969,-27.9825856532151,298.062365955568,-20.4332777753156
287,313.325953755786,-20.4195437665609,313.575206367061,-27.9691596448144,305.22882165969,-27.9825856532151,305.455435955568,-20.4332777753156
288,320.719023755786,-20.4195437665609,320.968276367061,-27.9691596448144,312.62189165969,-27.9825856532151,312.848505955568,-20.4332777753156
289,328.112103755786,-20.4195437665609,328.361356367061,-27.9691596448144,320.01497165969,-27.9825856532151,320.241585955568,-20.4332777753156
290,335.505173755786,-20.4195437665609,335.754426367061,-27.9691596448144,327.40804165969,-27.9825856532151,327.634655955568,-20.4332777753156
291,342.898243755786,-20.4195437665609,343.147496367061,-27.9691596448144,334.80111165969,-27.9825856532151,335.027725955568,-20.4332777753156
292,350.291313755786,-20.4195437665609,350.540566367061,-27.9691596448144,342.19418165969,-27.9825856532151,342.420795955568,-20.4332777753156
293,357.684383755786,-20.4195437665609,357.933636367061,-27.9691596448144,349.58725165969,-27.9825856532151,349.813865955568,-20.4332777753156
294,5.39799594074799,-13.2356932594709,5.56263196825043,-20.7870860120284,357.67873757635,-20.8006298701046,357.821316389408,-13.2497280753305
295,12.479925940748,-13.2356932594709,12.6445619682504,-20.7870860120284,4.76066757635047,-20.8006298701046,4.90324638940843,-13.2497280753305
296,19.561845940748,-13.2356932594709,19.7264819682504,-20.7870860120284,11.8425875763505,-20.8006298701046,11.9851663894084,-13.2497280753305
297,26.643775940748,-13.2356932594709,26.8084119682504,-20.7870860120284,18.9245175763505,-20.8006298701046,19.0670963894084,-13.2497280753305
298,33.725705940748,-13.2356932594709,33.8903419682504,-20.7870860120284,26.0064475763505,-20.8006298701046,26.1490263894084,-13.2497280753305
299,40.807635940748,-13.2356932594709,40.9722719682504,-20.7870860120284,33.0883775763505,-20.8006298701046,33.2309563894084,-13.2497280753305
300,47.889565940748,-13.2356932594709,48.0542019682504,-20.7870860120284,40.1703075763505,-20.8006298701046,40.3128863894084,-13.2497280753305
301,54.971495940748,-13.2356932594709,55.1361319682504,-20.7870860120284,47.2522375763505,-20.8006298701046,47.3948163894084,-13.2497280753305
302,62.053425940748,-13.2356932594709,62.2180619682504,-20.7870860120284,54.3341675763505,-20.8006298701046,54.4767463894084,-13.2497280753305
303,69.135345940748,-13.2356932594709,69.2999819682504,-20.7870860120284,61.4160875763505,-20.8006298701046,61.5586663894084,-13.2497280753305
304,76.217275940748,-13.2356932594709,76.3819119682504,-20.7870860120284,68.4980175763505,-20.8006298701046,68.6405963894084,-13.2497280753305
305,83.299205940748,-13.2356932594709,83.4638419682504,-20.7870860120284,75.5799475763505,-20.8006298701046,75.7225263894084,-13.2497280753305
306,90.381135940748,-13.2356932594709,90.5457719682504,-20.7870860120284,82.6618775763505,-20.8006298701046,82.8044563894084,-13.2497280753305
307,97.463065940748,-13.2356932594709,97.6277019682504,-20.7870860120284,89.7438075763505,-20.8006298701046,89.8863863894084,-13.2497280753305
308,104.544995940748,-13.2356932594709,104.70963196825,-20.7870860120284,96.8257375763505,-20.8006298701046,96.9683163894084,-13.2497280753305
